
10001,Dupont,Jean,UE101,Mathématiques,
10002,Martin,Sophie,UE101,Mathématiques,
10003,Leroy,Paul,UE101,Mathématiques,
10004,Bernard,Claire,UE101,Mathématiques,
10005,Moreau,Lucas,UE101,Mathématiques,
10006,Simon,Julie,UE101,Mathématiques,
10007,Durand,Thomas,UE101,Mathématiques,
10008,Petit,Emma,UE101,Mathématiques,
10009,Rousseau,Antoine,UE101,Mathématiques,
10010,Fournier,Marie,UE101,Mathématiques,
10011,Girard,Alexandre,UE101,Mathématiques,
10012,Lemoine,Charlotte,UE101,Mathématiques,
10013,Lopez,Nicolas,UE101,Mathématiques,
10014,Morel,Amélie,UE101,Mathématiques,
10015,Blanc,Théo,UE101,Mathématiques,
10016,Garnier,Elodie,UE101,Mathématiques,
10017,Chevalier,Maxime,UE101,Mathématiques,
10018,Fabre,Manon,UE101,Mathématiques,
10019,Millet,Baptiste,UE101,Mathématiques,
10020,Barbier,Camille,UE101,Mathématiques,
10021,Regnier,Julien,UE102,Physique,
10022,Marchand,Léa,UE102,Physique,
10023,Aubert,Clément,UE102,Physique,
10024,Guillet,Laura,UE102,Physique,
10025,Perrin,Thomas,UE102,Physique,
10026,Guillot,Justine,UE102,Physique,
10027,Leclercq,Kevin,UE102,Physique,
10028,Vincent,Emma,UE102,Physique,
10029,Jacquet,Florian,UE102,Physique,
10030,Pichon,Anaïs,UE102,Physique,
10031,Roussel,Matthieu,UE103,Chimie,
10032,Charpentier,Louise,UE103,Chimie,
10033,Fontaine,Romain,UE103,Chimie,
10034,Collin,Amandine,UE103,Chimie,
10035,Perrot,Benoît,UE103,Chimie,
10036,Benoît,Clara,UE103,Chimie,
10037,Lambert,Lucas,UE103,Chimie,
10038,Nguyen,Sarah,UE103,Chimie,
10039,Robin,Mathis,UE103,Chimie,
10040,Paul,Emma,UE103,Chimie,
